user_id,overall_rating,food,service,atmosphere,price,drink
000001,4.5,4.0,5.0,4.0,5.0,4.0
000002,4.2,4.2,4.2,3.8,4.2,4.0
000003,5.0,,,,,
000004,3.5,,,,,
000005,4.0,,,,,
000006,3.8,,,,,
000007,4.0,,,,,
000008,4.0,,,,,
000009,5.0,,,,,
000010,3.9,,,,,
000011,4.0,,,,,
000012,4.0,,,,,
000013,4.3,4.2,4.1,3.8,4.1,4.1
000014,4.5,,,,,
000015,4.5,,,,,
000016,4.0,,,,,
000017,4.0,4.0,4.0,4.0,4.5,4.5
000018,3.5,3.5,3.5,3.0,4.0,3.5
000019,3.5,,,,,
000020,3.6,,,,,
000021,4.5,,,,,
000022,5.0,,,,,
000023,3.5,,,,,
000024,4.5,4.5,4.5,4.5,4.0,4.0
000025,3.5,3.5,3.5,4.0,4.0,4.0
000026,4.5,,,,,
000027,4.5,,,,,
000028,5.0,,,,,
000029,3.4,,,,,
000030,4.0,4.0,3.9,3.5,3.7,3.7
000031,3.6,,,,,
000032,5.0,5.0,5.0,5.0,4.0,5.0
000033,3.8,3.8,3.8,3.8,3.8,3.8
000034,3.5,,,,,
000035,4.5,,,,,
000036,3.0,,,,,
000037,4.5,3.5,4.0,4.0,3.5,4.5
000038,3.5,3.4,3.6,3.4,3.5,3.6
000039,3.1,,,,,
000040,4.0,4.5,4.5,3.5,4.5,4.0
000041,4.0,,,,,
000042,5.0,,,,,
000043,2.5,2.5,2.5,3.0,2.5,2.5
000044,2.5,,,,,
000045,3.5,,,,,
000046,3.9,3.9,3.9,3.9,3.9,3.9
000047,3.3,3.3,3.3,3.3,3.3,
000048,2.8,2.8,3.3,3.0,2.6,
000049,3.6,3.6,3.6,3.7,3.5,3.6
000050,3.3,3.3,3.0,3.0,3.5,
000051,3.4,,,,,
000052,3.6,3.6,3.5,3.5,3.6,3.3
000053,3.9,3.8,3.5,3.5,3.5,3.5
000054,3.7,3.8,3.4,3.5,3.5,3.5
000055,4.5,,,,,
000056,3.8,,,,,
000057,5.0,,,,,
000058,3.3,,,,,
000059,4.5,,,,,
000060,4.5,,,,,
000061,4.2,4.0,4.0,3.4,4.0,4.0
000062,3.4,,,,,
000063,4.5,,,,,
000064,3.5,,,,,
000065,4.5,,,,,
000066,3.0,,,,,
000067,4.0,,,,,
000068,5.0,5.0,5.0,5.0,5.0,5.0
000069,3.0,,,,,
000070,2.5,,,,,
000071,3.5,,,,,
000072,3.4,,,,,
000074,3.5,3.5,3.0,3.0,4.0,
000075,3.1,3.2,3.6,3.6,2.9,3.5
000077,3.0,3.0,3.0,3.0,3.0,3.0
000078,3.6,,,,,
000080,5.0,,,,,
000082,4.5,,,,,
000083,3.5,,,,,
000086,4.0,,,,,
000087,3.6,,,,,
000088,4.0,,,,,
000090,3.0,,,,,
000091,3.5,,,,,
000093,4.0,,,,,
000094,3.4,,,,,
000097,4.0,,,,,
000100,4.0,,,,,
000101,4.0,,,,,
000102,3.5,,,,,
000103,3.5,,,,,
000104,3.5,,,,,
000105,3.5,,,,,
000106,3.5,,,,,
000107,4.0,,,,,
000108,3.5,,,,,
000109,5.0,,,,,
000110,4.0,,,,,
000111,4.5,,,,,
000112,4.5,,,,,
000113,5.0,,,,,
000114,4.5,,,,,
000115,4.0,,,,,
000116,5.0,,,,,
000117,4.0,,,,,
000118,4.0,,,,,
000119,4.0,,,,,
000120,4.5,,,,,
000121,4.5,,,,,
000122,3.5,,,,,
000123,3.5,,,,,
000124,4.5,,,,,
000125,4.5,,,,,
000126,4.0,,,,,
000127,4.5,,,,,
000128,4.0,,,,,
000129,3.0,,,,,
000130,3.6,3.5,3.5,3.5,4.0,3.0
000131,3.4,,,,,
000132,4.0,,,,,
000133,4.0,,,,,
000134,3.5,,,,,
000135,4.0,,,,,
000136,5.0,,,,,
000137,4.5,,,,,
000138,4.5,,,,,
000139,3.3,,,,,
000140,5.0,,,,,
000141,5.0,,,,,
000142,5.0,,,,,
000143,5.0,,,,,
000144,5.0,,,,,
000145,5.0,,,,,
000146,4.0,,,,,
000147,3.3,3.0,2.5,2.5,3.0,2.0
000148,3.1,3.1,3.4,3.2,3.1,3.2
000149,3.5,3.5,4.5,3.5,4.0,3.5
000150,4.2,3.7,3.6,3.5,3.6,3.3
000151,3.3,3.3,3.1,3.3,3.2,3.2
000152,3.3,,,,,
000153,3.4,3.4,3.4,3.5,3.4,
